Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Possui_suite
Loja/Salão;Barra da Tijuca;0;1;0;50;4500.0;1172.0;1327.0;5672.0;69391.0;Não
Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;2940.0;35538.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;120;3000.0;1380.0;509.0;4380.0;53069.0;Não
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;4300.0;51837.0;Sim
Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;1530.0;18435.0;Não
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;8;0;380;18000.0;5276.0;1851.0;23276.0;281163.0;Não
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;7220.0;86990.0;Sim
Quitinete;Catete;0;0;0;20;700.0;500.0;28.0;1200.0;14428.0;Não
Apartamento;Ipanema;4;6;1;700;65000.0;8860.0;5699.0;73860.0;892019.0;Sim
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;1301.0;15747.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;270;7000.0;2800.0;1249.0;9800.0;118849.0;Não
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;1800.0;21654.0;Sim
Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;4700.0;56681.0;Sim
Apartamento;Copacabana;3;1;1;500;15000.0;2580.0;366.0;17580.0;211326.0;Sim
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;2250.0;27100.0;Não
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;1970.0;23690.0;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;700.0;628.0;1120.0;1328.0;17056.0;Não
Conjunto Comercial/Sala;Tijuca;0;0;0;21;1000.0;520.0;116.0;1520.0;18356.0;Não
Apartamento;Barra da Tijuca;1;1;1;65;2350.0;;;;;Sim
Apartamento;Ipanema;3;3;1;220;22000.0;4000.0;1200.0;26000.0;313200.0;Sim
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;4150.0;49890.0;Não
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;;3600.0;;Sim
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;1715.0;20635.0;Não
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;4073.0;49073.0;Sim
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;8480.0;102030.0;Sim
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;4833.0;58143.0;Sim
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;;2250.0;;Sim
Apartamento;Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0;37000.0;447000.0;Sim
Casa Comercial;Botafogo;0;0;0;220;16000.0;;;;;Não
Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;;1770.0;;Não
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;2330.0;28014.0;Não
